project_index,omniclass_element,life_cycle_stage,gwp,ep,ap,sfp,odp,nred
6,Shell - Superstructure,A1-A3,279706.3,720.97,1250.54,20361.14,0.0127043,1876336.2999999998
6,Shell - Superstructure,A4,22309.5,15.77,48.73,902.47,0.00521805,377240.2
6,Shell - Superstructure,B4-B5,0.0,0.0,0.0,0.0,0.0,0.0
6,Shell - Superstructure,C2-C4,4356.4,44.68,175.97,709.861,0.000601682,8121.5
6,Substructure,A1-A3,57012.4,305.72,236.84,2930.78,0.00391855,34437.2
6,Substructure,A4,501.6,0.39,2.47,67.89,0.00013281,13017.300000000001
6,Substructure,B4-B5,0.0,0.0,0.0,0.0,0.0,0.0
6,Substructure,C2-C4,853.7,0.31,53.91,2.667,0.00014869,2588.6
6,Unknown,A1-A3,5131.599999999999,2.59,57.48,842.63,3.4e-09,88114.6
6,Unknown,A4,355.8,0.28,2.03,57.46,9.341e-05,10115.1
6,Unknown,B4-B5,0.0,0.0,0.0,0.0,0.0,0.0
6,Unknown,C2-C4,297.5,5.08,7.399999999999999,81.774,3.4148e-05,374.79999999999995
7,Interiors - Construction,A1-A3,20750.0,5.6,86.74,1115.472,0.0002931532291936,248993.2
7,Interiors - Construction,A4,192.79999999999998,0.03,0.88,29.483,6.594678435e-12,2733.2000000000003
7,Interiors - Construction,B4-B5,3374.9,2.29,16.990000000000002,172.78400000000002,5.84517933048e-05,42282.2
7,Interiors - Construction,C2-C4,58.5,0.11,0.26,4.858,-1.5135579279999997e-13,588.8
7,Interiors - Construction,D,-12371.0,-1.12,-33.17,-408.368,7.18683216202e-05,-117246.1
7,Interiors - Finishes,A1-A3,41360.5,8.77,161.71,2074.585,0.00132738237691416,639579.7
7,Interiors - Finishes,A4,733.9,0.25,3.37,112.459,2.515632012e-11,10425.5
7,Interiors - Finishes,B4-B5,54591.0,10.87,212.85,3241.354,0.00114969533733242,939382.8
7,Interiors - Finishes,C2-C4,3188.1,0.7000000000000001,14.45,286.692,5.75517853e-10,50153.0
7,Interiors - Finishes,D,-3107.4,-0.25,-6.1,-86.494,2.2002966e-05,-29083.9
7,Shell - Enclosure,A1-A3,157779.1,43.73,704.06,8139.795,0.0029647493777026,2576651.6
7,Shell - Enclosure,A4,2076.7,0.68,9.57,318.111,7.1156403586e-11,29489.8
7,Shell - Enclosure,B4-B5,71125.7,27.64,323.7,4105.573,0.00036369145235787,1194324.1
7,Shell - Enclosure,C2-C4,5834.400000000001,10.22,42.339999999999996,494.947,8.761215108295e-10,76014.7
7,Shell - Enclosure,D,-26038.7,-2.8,-123.95,-1154.9470000000001,7.1886068508081e-05,-259506.6
7,Shell - Superstructure,A1-A3,869525.8,170.85,2504.04,47631.525,0.00016619400830040001,7465974.4
7,Shell - Superstructure,A4,8012.6,2.98,37.11,1226.85,2.744266478e-10,113733.3
7,Shell - Superstructure,B4-B5,4322.2,1.32,19.72,241.47,4.55788829e-07,47761.5
7,Shell - Superstructure,C2-C4,79311.0,18.77,365.48,7179.133,1.432289283255e-08,1246829.3
7,Shell - Superstructure,D,2285.0000000000014,1.09,18.43,952.297,1.2009752468260002e-05,9398.399999999996
7,Substructure,A1-A3,56200.8,11.0,153.17000000000002,3075.004,-4.13455074865e-05,467989.8
7,Substructure,A4,479.2,0.16,2.22,73.37700000000001,1.64138809e-11,6802.7
7,Substructure,B4-B5,0.0,0.0,0.0,0.0,0.0,0.0
7,Substructure,C2-C4,5597.8,1.29,25.87,514.453,1.0289533901e-09,89606.8
7,Substructure,D,-2288.4,-0.060000000000000005,-3.12,5.414000000000001,1.7914813822e-05,-20708.9
7,Unknown,A1-A3,63.6,0.01,0.19,2.476,-2.96094e-07,764.5
7,Unknown,A4,0.6,0.0,0.0,0.087,1.95609e-14,8.1
7,Unknown,B4-B5,64.2,0.01,0.19,2.565,-2.96094e-07,773.0
7,Unknown,C2-C4,0.0,0.0,0.0,0.002,3.93174e-15,0.3
7,Unknown,D,-63.6,-0.01,-0.12,-1.767,4.50451e-07,-597.0
8,Interiors - Construction,A1-A3,46011.5,8.82,123.72,2453.95,2.4e-06,755355.1
8,Interiors - Construction,A4,928.4,0.74,5.29,149.97,0.00024,26398.2
8,Interiors - Construction,B4-B5,0.0,0.0,0.0,0.0,0.0,0.0
8,Interiors - Construction,C2-C4,3069.3,1.01,198.77,6.12,0.000544,7954.700000000001
8,Interiors - Finishes,A1-A3,34132.4,40.2,175.07999999999998,1597.71,0.00098094098,67181.7
8,Interiors - Finishes,A4,371.6,0.29000000000000004,2.1100000000000003,60.004000000000005,9.8039e-05,10561.599999999999
8,Interiors - Finishes,B4-B5,119800.1,71.23,410.08000000000004,3963.6099999999997,0.0031126000000000005,208622.1
8,Interiors - Finishes,C2-C4,13452.3,5.84,47.839999999999996,123.083,0.0005563434,3652.2999999999997
8,Shell - Enclosure,A1-A3,861679.6,237848.33,4797.42,909836.44,0.06810758734,8829203.5
8,Shell - Enclosure,A4,26048.7,20.52,136.28,3792.0499999999997,0.0067963400000000005,701539.7999999999
8,Shell - Enclosure,B4-B5,278848.2,75.12,1016.28,11606.05,0.0044611,4633032.4
8,Shell - Enclosure,C2-C4,85966.7,162.69,1121.35,2776.1859999999997,0.005613626625,52803.4
